Time [s],Value,ASCII
0.953124860000000,orphanedData Channel: -2 [B],d
0.953445200000000,orphanedData Channel: -2 [B],1
0.953765560000000,orphanedData Channel: -2 [B],a
0.954085900000000,orphanedData Channel: -2 [B],f
0.954406240000000,orphanedData Channel: -2 [B],b
0.954726580000000,orphanedData Channel: -2 [B],6
0.955046940000000,orphanedData Channel: -2 [B],d
0.955367280000000,orphanedData Channel: -2 [B],f
0.955687620000000,orphanedData Channel: -2 [B],5
0.956007960000000,orphanedData Channel: -2 [B],4
0.956328320000000,orphanedData Channel: -2 [B],5
0.956648660000000,orphanedData Channel: -2 [B],7
0.956969000000000,orphanedData Channel: -2 [B],8
0.957289340000000,orphanedData Channel: -2 [B],0
0.957609680000000,orphanedData Channel: -2 [B],6
0.957930040000000,orphanedData Channel: -2 [B],5
0.958250380000000,orphanedData Channel: -2 [B],f
0.958570720000000,orphanedData Channel: -2 [B],1
0.958891060000000,orphanedData Channel: -2 [B],d
0.959211420000000,orphanedData Channel: -2 [B],8
0.959531760000000,orphanedData Channel: -2 [B],b
0.959852100000000,orphanedData Channel: -2 [B],b
0.960172440000000,orphanedData Channel: -2 [B],a
0.960492780000000,orphanedData Channel: -2 [B],8
0.960813140000000,orphanedData Channel: -2 [B],9
0.961133480000000,orphanedData Channel: -2 [B],8
0.961453820000000,orphanedData Channel: -2 [B],0
0.961774160000000,orphanedData Channel: -2 [B],1
0.962094520000000,orphanedData Channel: -2 [B],d
0.962414860000000,orphanedData Channel: -2 [B],3
0.962735200000000,orphanedData Channel: -2 [B],e
0.963055540000000,orphanedData Channel: -2 [B],f
0.963375900000000,orphanedData Channel: -2 [B],2
0.963696240000000,orphanedData Channel: -2 [B],\r
0.964016580000000,orphanedData Channel: -2 [B],\n
0.964336920000000,orphanedData Channel: -2 [B],[
0.964657260000000,orphanedData Channel: -2 [B],M
0.964977620000000,orphanedData Channel: -2 [B],S
0.965297960000000,orphanedData Channel: -2 [B],G
0.965618300000000,orphanedData Channel: -2 [B],]
0.965938640000000,orphanedData Channel: -2 [B], 
0.966258980000000,orphanedData Channel: -2 [B],A
0.966579340000000,orphanedData Channel: -2 [B],c
0.966899680000000,orphanedData Channel: -2 [B],t
0.967220020000000,orphanedData Channel: -2 [B],i
0.967540360000000,orphanedData Channel: -2 [B],v
0.967860720000000,orphanedData Channel: -2 [B],i
0.968181060000000,orphanedData Channel: -2 [B],t
0.968501400000000,orphanedData Channel: -2 [B],y
0.968821740000000,orphanedData Channel: -2 [B], 
0.969142080000000,orphanedData Channel: -2 [B],f
0.969462440000000,orphanedData Channel: -2 [B],r
0.969782780000000,orphanedData Channel: -2 [B],o
0.970103120000000,orphanedData Channel: -2 [B],m
0.970423460000000,orphanedData Channel: -2 [B],:
0.970743820000000,orphanedData Channel: -2 [B], 
0.971064160000000,orphanedData Channel: -2 [B],2
0.971384500000000,orphanedData Channel: -2 [B],2
0.971704840000000,orphanedData Channel: -2 [B],3
0.972025200000000,orphanedData Channel: -2 [B],e
0.972345540000000,orphanedData Channel: -2 [B],6
0.972665880000000,orphanedData Channel: -2 [B],3
0.972986220000000,orphanedData Channel: -2 [B],4
0.973306560000000,orphanedData Channel: -2 [B],c
0.973626920000000,orphanedData Channel: -2 [B],e
0.973947260000000,orphanedData Channel: -2 [B],a
0.974267600000000,orphanedData Channel: -2 [B],2
0.974587940000000,orphanedData Channel: -2 [B],0
0.974908300000000,orphanedData Channel: -2 [B],3
0.975228640000000,orphanedData Channel: -2 [B],b
0.975548980000000,orphanedData Channel: -2 [B],a
